# wave_Ang	data_1	data_2	data_mean	data_err_mean	model
10830.356299999999	0.168305252447	-0.280056254414	-0.092996011759	0.220807535954	0.001560431575
10830.414000000001	0.236330760079	-0.150818836369	-0.021264477703	0.222190986463	0.001682491543
10830.471600000001	0.217664583231	-0.208029841207	-0.024625284087	0.223771454874	0.001818997746
10830.529300000000	0.049750906514	-0.284315292465	-0.199881641660	0.225687436641	0.001993713833
10830.587000000000	-0.045463604761	-0.278634966567	-0.204611043283	0.227755922441	0.002213239929
10830.644700000001	0.112431135653	-0.128281035050	0.001121557232	0.229052392714	0.002468441252
10830.702300000001	0.003131415453	0.003617849892	-0.077889944087	0.224902738762	0.002762508209
10830.760000000000	-0.303464153558	0.189425666566	0.020023137884	0.220060168628	0.003137566161
10830.817600000000	-0.412911757900	0.069002650660	0.063398931971	0.218628364706	0.003663634359
10830.875300000000	-0.687582827817	0.220284281603	0.197292868050	0.218990037702	0.004420999447
10830.932900000000	-0.901215536524	0.411668807135	0.294422932149	0.224680893938	0.005482904666
10830.990599999999	-1.076251273503	0.258260736366	0.206103193844	0.231895694509	0.006932343832
10831.048199999999	-1.071476021809	0.082755741499	0.075790680950	0.237980244618	0.008853068411
10831.105799999999	-0.830837589602	0.268077635776	0.319546590723	0.249510417885	0.011363752872
10831.163399999999	-0.714987932882	0.307592320874	0.323806360105	0.259636517232	0.014651982093
10831.221100000001	-0.321090544220	0.363428399689	0.419367083038	0.265172292774	0.019022387811
10831.278700000001	0.010778630136	0.045826267768	0.108651731089	0.267706884133	0.024841581108
10831.336300000001	0.100517615214	0.206496124095	0.061291701284	0.266180535656	0.032475883468
10831.393899999999	-0.129059325010	-0.006543755012	-0.162510096336	0.258045758895	0.042133164991
10831.451499999999	0.052445703652	0.026949025602	0.001450342612	0.249733733568	0.053840221068
10831.509000000000	0.310853120798	0.371294102284	0.224563421549	0.243164800132	0.067459665125
10831.566600000000	0.165624760928	0.126516999884	0.004585930454	0.237625474179	0.082767900208
10831.624200000000	0.157299467582	0.099115667092	0.058372573416	0.232264250659	0.099256888569
10831.681800000000	0.286146705458	0.390505871697	0.391259733245	0.228600608010	0.116215862651
10831.739299999999	0.357282593063	0.153659733739	0.261080200855	0.226130629030	0.132714558121
10831.796899999999	0.346343473994	-0.002581397124	0.148764845152	0.223929837570	0.147754282569
10831.854400000000	-0.029392072039	0.283753540888	0.150379152058	0.222125503993	0.160204931499
10831.912000000000	-0.056605951894	0.311990980080	0.177875250006	0.220789443182	0.169214860701
10831.969499999999	0.083097394080	0.651826398045	0.327718159445	0.219316734324	0.174245230173
10832.027000000000	0.167590494991	0.541547637629	0.245754151487	0.217834656806	0.175314280805
10832.084600000000	0.078597881317	0.379720200278	0.115539006662	0.216598405456	0.172953180053
